proj_id,report_quarter,quarter_first_seen,project_age,match_confidence,segment,class_type,territory,project_stage,announced_load_mw,initial_service_date,new_project,change_announced_load,change_load_ramp,change_project_stage,change_initial_service_date,load_2023,load_2024,load_2025,load_2026,load_2027,load_2028,load_2029,load_2030,load_2031,load_2032,load_2033,load_2034,load_2035,load_2036,load_2037
P0009,2024Q4,2024Q1,4,ramp_0.72,data center,Commercial,Inside,Technical Review,567,Q4 2025,,,,,Y,0.0,0.0,2.0,81.0,162.0,243.0,324.0,405.0,486.0,567.0,567.0,567.0,567.0,567.0,567.0
P0009,2025Q1,2024Q1,5,exact,data center,Commercial,Inside,Technical Review,567,Q4 2025,,,,,,0.0,0.0,2.0,81.0,162.0,243.0,324.0,405.0,486.0,567.0,567.0,567.0,567.0,567.0,567.0
P0009,2025Q2,2024Q1,6,ramp_0.89,data center,Commercial,Inside,Technical Review,600,Q4 2026,,,,,,0.0,0.0,0.0,10.0,163.0,294.0,425.0,557.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
P0010,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,144,Q1 2025,Y,,,,,0.0,0.0,36.0,72.0,108.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
P0010,2024Q2,2024Q1,2,ramp_1.00,data center,Commercial,Inside,Technical Review,144,Q2 2026,,,Y,,Y,0.0,0.0,0.0,36.0,72.0,108.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
P0010,2024Q3,2024Q1,3,ramp_0.94,data center,Commercial,Inside,Technical Review,144,Q2 2027,,,Y,,Y,0.0,0.0,0.0,0.0,36.0,72.0,108.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
P0010,2024Q4,2024Q1,4,ramp_0.91,data center,Commercial,Inside,Technical Review,162,Q2 2027,Y,,,,,0.0,0.0,0.0,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,162.0,162.0,162.0,162.0
P0010,2025Q1,2024Q1,5,exact,data center,Commercial,Inside,Technical Review,162,Q2 2027,,,,,,0.0,0.0,0.0,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,162.0,162.0,162.0,162.0
P0010,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Technical Review,162,Q2 2027,,,,,,0.0,0.0,0.0,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,162.0,162.0,162.0,162.0
P0011,2024Q1,2024Q1,1,seed,,,Inside,Contract for Electric Service,182,Q2 2026,,,Y,Y,,0.0,0.0,0.0,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,,,,0.0,0.0,0.0,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2024Q3,2024Q1,3,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,,,,0.0,0.0,0.0,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,,,,0.0,0.0,0.0,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2025Q1,2024Q1,5,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,Y,,,0.0,0.0,0.0,95.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,,,,0.0,0.0,0.0,95.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2025Q3,2024Q1,7,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,,,,0.0,0.0,0.0,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2025Q4,2024Q1,8,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,Y,,,,,0.0,95.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0011,2026Q1,2024Q1,9,exact,data center,Commercial,Inside,Contract for Electric Service,182,Q2 2026,,,Y,,,,,,72.0,128.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
P0012,2024Q1,2024Q1,1,seed,,,Inside,Request for Service,216,Q3 2025,,,Y,,Y,0.0,0.0,30.0,60.0,100.0,140.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0
P0012,2024Q2,2024Q1,2,ramp_0.86,data center,Commercial,Inside,Technical Review,180,Q2 2025,,,,,,0.0,0.0,15.0,45.0,90.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
P0013,2024Q1,2024Q1,1,seed,,,Outside,Request for Service,66,Q2 2025,,,Y,,Y,0.0,0.0,22.0,44.0,44.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
P0014,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,120,Q2 2025,,,,,,0.0,0.0,60.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
P0014,2024Q2,2024Q1,2,ramp_1.00,clean energy tech,Industrial,Inside,Technical Review,60,Q2 2026,,Y,Y,,Y,0.0,0.0,0.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
P0014,2024Q3,2024Q1,3,ramp_1.00,manufacturing,Industrial,Inside,Technical Review,60,Q4 2026,,,,,Y,0.0,0.0,0.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
P0014,2024Q4,2024Q1,4,exact,manufacturing,Industrial,Inside,Technical Review,60,Q4 2026,,,,,,0.0,0.0,0.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
P0015,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,433,Q2 2025,Y,,,,,0.0,0.0,2.0,10.0,87.0,173.0,260.0,347.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0
P0016,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,630,Q2 2024,Y,,,,,0.0,2.0,10.0,158.0,315.0,473.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0
P0017,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,311,Q2 2024,Y,,,,,0.0,2.0,10.0,104.0,208.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0
P0017,2024Q2,2024Q1,2,ramp_0.96,data center,Commercial,Inside,Technical Review,300,Q2 2026,Y,,,,,0.0,0.0,0.0,100.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
P0017,2024Q3,2024Q1,3,ramp_0.94,data center,Commercial,Inside,Technical Review,360,Q2 2027,Y,,,,,0.0,0.0,0.0,0.0,72.0,120.0,168.0,216.0,288.0,360.0,360.0,360.0,360.0,360.0,360.0
P0018,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,243,Q2 2027,Y,,,,,0.0,0.0,0.0,0.0,39.0,63.0,115.0,167.0,208.0,243.0,243.0,243.0,243.0,243.0,243.0
P0018,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Technical Review,243,Q2 2027,,,,,,0.0,0.0,0.0,0.0,39.0,63.0,115.0,167.0,208.0,243.0,243.0,243.0,243.0,243.0,243.0
P0018,2024Q3,2024Q1,3,ramp_1.00,data center,Commercial,Inside,Technical Review,243,Q3 2027,,,,,Y,0.0,0.0,0.0,0.0,39.0,63.0,115.0,167.0,208.0,243.0,243.0,243.0,243.0,243.0,243.0
P0018,2024Q4,2024Q1,4,ramp_0.77,data center,Commercial,Inside,Technical Review,300,Q2 2027,Y,,,,,0.0,0.0,0.0,0.0,75.0,131.0,188.0,244.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
P0019,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,200,Q1 2025,Y,,,,,0.0,0.0,25.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0019,2024Q2,2024Q1,2,exact_noseg,other,Industrial,Inside,Technical Review,200,Q1 2025,,,,,,0.0,0.0,25.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0020,2024Q1,2024Q1,1,seed,,,Outside,Request for Service,202,Q2 2024,,,,,Y,0.0,63.0,116.0,147.0,165.0,192.0,197.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0
P0020,2024Q2,2024Q1,2,exact_noseg,clean energy tech,Industrial,Outside,Contract for Electric Service,202,Q2 2024,,,Y,Y,,0.0,60.0,113.0,144.0,162.0,192.0,197.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0
P0020,2024Q3,2024Q1,3,ramp_1.00,clean energy tech,Industrial,Outside,Contract for Electric Service,207,Q1 2024,,Y,Y,,Y,0.0,61.0,96.0,132.0,148.0,184.0,196.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
P0020,2024Q4,2024Q1,4,exact,clean energy tech,Industrial,Outside,Contract for Electric Service,207,Q1 2024,,,,,,0.0,61.0,96.0,132.0,148.0,184.0,196.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
P0020,2025Q1,2024Q1,5,exact,clean energy tech,Industrial,Outside,Contract for Electric Service,207,Q1 2024,,,,,,0.0,61.0,96.0,132.0,148.0,184.0,196.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
P0020,2025Q2,2024Q1,6,exact,clean energy tech,Industrial,Outside,Contract for Electric Service,207,Q1 2024,,,,,,0.0,61.0,96.0,132.0,148.0,184.0,196.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
P0020,2025Q3,2024Q1,7,exact,clean energy tech,Industrial,Outside,Contract for Electric Service,207,Q1 2024,,Y,Y,,,0.0,61.0,96.0,132.0,148.0,184.0,196.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
P0020,2025Q4,2024Q1,8,ramp_0.78,data center,Commercial,Inside,Technical Review,264,Q4 2027,Y,,,,,,,0.0,0.0,90.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
P0020,2026Q1,2024Q1,9,exact,data center,Commercial,Inside,Technical Review,264,Q4 2027,,,,,,,,,0.0,90.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
P0021,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,163,Q2 2025,Y,,,,,0.0,0.0,5.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Technical Review,163,Q2 2025,,,,,,0.0,0.0,5.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2024Q3,2024Q1,3,ramp_1.00,data center,Commercial,Inside,Technical Review,163,Q4 2026,,,Y,,Y,0.0,0.0,0.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Technical Review,163,Q4 2026,,,,,,0.0,0.0,0.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2025Q1,2024Q1,5,exact,data center,Commercial,Inside,Technical Review,163,Q4 2026,,,,,,0.0,0.0,0.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Technical Review,163,Q4 2026,,,,,,0.0,0.0,0.0,80.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
P0021,2025Q3,2024Q1,7,exact_noseg,data center,Commercial,Inside,Technical Review,725,Q4 2026,,,,,,0.0,0.0,0.0,5.0,77.0,245.0,365.0,485.0,605.0,725.0,725.0,725.0,725.0,725.0,725.0
P0021,2025Q4,2024Q1,8,ramp_0.92,data center,Commercial,Inside,Technical Review,725,Q4 2027,,,Y,,Y,,,0.0,0.0,5.0,77.0,245.0,365.0,485.0,605.0,725.0,725.0,725.0,725.0,725.0
P0021,2026Q1,2024Q1,9,ramp_1.00,data center,Commercial,Inside,Technical Review,725,Q4 2027,,,,,,,,,0.0,5.0,77.0,245.0,365.0,485.0,605.0,725.0,725.0,725.0,725.0,725.0
P0022,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,200,Q2 2027,Y,,,,,0.0,0.0,0.0,0.0,40.0,80.0,160.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0022,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Technical Review,200,Q2 2027,,,,,,0.0,0.0,0.0,0.0,40.0,80.0,160.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0022,2024Q3,2024Q1,3,ramp_1.00,data center,Commercial,Inside,Technical Review,200,Q4 2027,,,,,Y,0.0,0.0,0.0,0.0,40.0,80.0,160.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0022,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Technical Review,200,Q4 2027,,,,,,0.0,0.0,0.0,0.0,40.0,80.0,160.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0022,2025Q1,2024Q1,5,ramp_0.86,data center,Commercial,Inside,Request for Service,225,Q1 2028,,,Y,,Y,0.0,0.0,0.0,0.0,45.0,135.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
P0023,2024Q1,2024Q1,1,seed,,,Outside,Contract for Electric Service,200,Q2 2025,,,,,,0.0,0.0,10.0,30.0,60.0,90.0,130.0,180.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0023,2024Q2,2024Q1,2,ramp_1.00,data center,Commercial,Outside,Contract for Electric Service,200,Q1 2025,,,,,Y,0.0,0.0,10.0,30.0,60.0,90.0,130.0,180.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0023,2024Q3,2024Q1,3,ramp_0.90,data center,Commercial,Outside,Contract for Electric Service,192,Q4 2023,,Y,Y,,Y,1.0,10.0,30.0,100.0,150.0,175.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2024Q4,2024Q1,4,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,Y,,Y,0.0,10.0,22.0,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2025Q1,2024Q1,5,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,,,,0.0,10.0,22.0,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2025Q2,2024Q1,6,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,,,,0.0,10.0,22.0,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2025Q3,2024Q1,7,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,,,,0.0,10.0,22.0,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2025Q4,2024Q1,8,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,,,,,,22.0,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0023,2026Q1,2024Q1,9,exact,data center,Commercial,Outside,Contract for Electric Service,192,Q1 2024,,,,,,,,,50.0,96.0,155.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
P0024,2024Q1,2024Q1,1,seed,,,Inside,Contract for Electric Service,240,Q2 2025,,,,,,0.0,0.0,10.0,30.0,60.0,100.0,140.0,190.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
P0024,2024Q2,2024Q1,2,ramp_1.00,data center,Commercial,Inside,Contract for Electric Service,240,Q1 2025,,,,,Y,0.0,0.0,10.0,30.0,60.0,100.0,140.0,190.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
P0024,2024Q3,2024Q1,3,exact,data center,Commercial,Inside,Contract for Electric Service,240,Q1 2025,,,Y,,,0.0,0.0,30.0,100.0,150.0,175.0,200.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
P0024,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Contract for Electric Service,240,Q1 2025,,,Y,,,0.0,0.0,21.0,50.0,96.0,155.0,214.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
P0025,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,162,Q2 2028,Y,,,,,0.0,0.0,0.0,0.0,0.0,50.0,100.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
P0025,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Technical Review,162,Q2 2028,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,100.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
P0025,2024Q3,2024Q1,3,ramp_1.00,data center,Commercial,Inside,Technical Review,162,Q1 2028,,,,,Y,0.0,0.0,0.0,0.0,0.0,50.0,100.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
P0025,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Technical Review,162,Q1 2028,,,Y,,,0.0,0.0,0.0,0.0,0.0,40.0,64.0,88.0,112.0,136.0,150.0,162.0,162.0,162.0,162.0
P0025,2025Q1,2024Q1,5,ramp_0.79,data center,Commercial,Inside,Technical Review,180,Q2 2029,Y,,,,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
P0025,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Technical Review,180,Q2 2029,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
P0026,2024Q1,2024Q1,1,seed,,,Outside,Technical Review,130,Q2 2029,,,,,Y,0.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
P0026,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Outside,Technical Review,130,Q2 2029,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
