Project_Name,City,County,GPS_Coordinates,Facility_Type,Segment,Territory,Project_Stage,Announced_Load_MW,Initial_In_Service_Date,Load_2026,Load_2027,Load_2028,Load_2029,Load_2030,Load_2031,Load_2032,Load_2033,Load_2034,Load_2035,Load_2036,Load_2037,New_Project,Change_Announced_Load,Change_Load_Ramp,Change_Project_Stage,Change_Initial_Service_Date
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,1200,Q2 2028,0,0,300,600,900,1200,1200,1200,1200,1200,1200,1200,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1200,Q4 2027,0,90,450,810,1200,1200,1200,1200,1200,1200,1200,1200,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1200,Q4 2027,0,100,300,450,650,850,1050,1200,1200,1200,1200,1200,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1200,Q4 2027,0,5,80,325,610,910,1170,1200,1200,1200,1200,1200,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1200,Q4 2027,0,150,200,400,600,800,1000,1200,1200,1200,1200,1200,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,1115,Q2 2028,0,0,450,450,1115,1115,1115,1115,1115,1115,1115,1115,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Multiple Sites,Technical Review,1020,Q4 2027,0,6,11,500,500,1020,1020,1020,1020,1020,1020,1020,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1000,Q2 2028,0,0,250,650,1000,1000,1000,1000,1000,1000,1000,1000,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,910,Q4 2027,0,25,350,550,750,910,910,910,910,910,910,910,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,910,Q4 2027,0,100,370,550,730,910,910,910,910,910,910,910,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,910,Q4 2027,0,100,370,550,730,910,910,910,910,910,910,910,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,860,Q2 2029,0,0,0,860,860,860,860,860,860,860,860,860,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,840,Q2 2029,0,0,0,840,840,840,840,840,840,840,840,840,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,750,Q4 2027,0,400,750,750,750,750,750,750,750,750,750,750,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,725,Q4 2027,0,5,77,245,365,485,605,725,725,725,725,725,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,725,Q4 2027,0,5,77,245,365,485,605,725,725,725,725,725,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,651,Q4 2027,0,150,400,651,651,651,651,651,651,651,651,651,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,648,Q4 2027,0,1,50,250,450,648,648,648,648,648,648,648,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,648,Q4 2027,0,2,10,216,432,648,648,648,648,648,648,648,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,600,Q2 2028,0,0,200,400,600,600,600,600,600,600,600,600,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,600,Q4 2027,0,5,204,454,600,600,600,600,600,600,600,600,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,600,Q4 2027,0,50,250,450,600,600,600,600,600,600,600,600,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,600,Q4 2027,0,1,60,102,204,300,414,510,558,600,600,600,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,576,Q4 2027,0,2,40,240,336,576,576,576,576,576,576,576,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,567,Q2 2030,0,0,0,0,2,81,162,243,324,567,567,567,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,550,Q4 2027,0,5,100,310,500,550,550,550,550,550,550,550,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,550,Q4 2027,0,5,163,313,500,550,550,550,550,550,550,550,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,550,Q2 2030,0,0,0,0,400,550,550,550,550,550,550,550,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,500,Q4 2027,0,20,20,20,500,500,500,500,500,500,500,500,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,500,Q2 2029,0,0,0,200,250,350,450,500,500,500,500,500,Y,,,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,500,Q4 2027,0,200,250,350,450,500,500,500,500,500,500,500,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,500,Q2 2030,0,0,0,0,100,200,350,400,500,500,500,500,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,481,Q2 2029,0,0,0,481,481,481,481,481,481,481,481,481,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,480,Q4 2027,0,10,10,143,244,345,447,480,480,480,480,480,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,455,Q4 2027,0,5,95,185,275,365,455,455,455,455,455,455,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,455,Q4 2027,0,5,95,365,455,455,455,455,455,455,455,455,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,455,Q4 2027,0,5,95,365,455,455,455,455,455,455,455,455,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,455,Q2 2029,0,0,0,5,95,185,275,365,455,455,455,455,,,,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,450,Q4 2027,0,75,150,225,300,375,450,450,450,450,450,450,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,450,Q4 2027,0,5,5,150,300,450,450,450,450,450,450,450,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Inside,Technical Review,450,Q2 2030,0,0,0,0,450,450,450,450,450,450,450,450,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,432,Q4 2027,0,1,1,1,68,144,211,288,356,432,432,432,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,420,Q4 2027,0,50,250,420,420,420,420,420,420,420,420,420,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,405,Q4 2027,0,216,324,405,405,405,405,405,405,405,405,405,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,365,Q4 2027,0,5,125,245,365,365,365,365,365,365,365,365,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,365,Q4 2027,0,10,124,196,269,341,365,365,365,365,365,365,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,360,Q4 2027,0,72,120,168,216,288,360,360,360,360,360,360,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,360,Q2 2029,0,0,0,288,360,360,360,360,360,360,360,360,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,350,Q2 2028,0,0,24,64,104,144,184,224,264,350,350,350,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,350,Q4 2027,0,1,87,155,224,293,350,350,350,350,350,350,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,325,Q2 2028,0,0,95,185,325,325,325,325,325,325,325,325,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,300,Q4 2027,0,50,150,250,300,300,300,300,300,300,300,300,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,300,Q2 2028,0,0,34,74,114,154,194,234,274,300,300,300,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,264,Q4 2027,0,90,264,264,264,264,264,264,264,264,264,264,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,252,Q2 2028,0,0,144,252,252,252,252,252,252,252,252,252,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,250,Q4 2027,0,25,200,250,250,250,250,250,250,250,250,250,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,240,Q4 2027,0,40,80,120,160,200,240,240,240,240,240,240,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Clean Energy Tech,Inside,Technical Review,240,Q2 2029,0,0,0,75,150,150,150,150,150,150,150,240,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,230,Q2 2029,0,0,0,10,150,230,230,230,230,230,230,230,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,216,Q2 2029,0,0,0,72,144,204,216,216,216,216,216,216,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,216,Q2 2029,0,0,0,144,216,216,216,216,216,216,216,216,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,200,Q4 2027,0,200,200,200,200,200,200,200,200,200,200,200,,Y,Y,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,200,Q4 2027,0,1,1,1,200,200,200,200,200,200,200,200,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,180,Q2 2029,0,0,0,90,180,180,180,180,180,180,180,180,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,180,Q2 2028,0,0,90,180,180,180,180,180,180,180,180,180,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,175,Q2 2028,0,0,40,64,88,112,136,150,175,175,175,175,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,144,Q2 2029,0,0,0,12,84,144,144,144,144,144,144,144,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Clean Energy Tech,Outside,Technical Review,50,Q4 2027,0,13,25,50,50,50,50,50,50,50,50,50,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Inside,Technical Review,50,Q2 2029,0,0,0,25,39,39,39,39,39,39,39,39,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Outside,Technical Review,45,Q4 2027,0,15,15,45,45,45,45,45,45,45,45,45,,,,,
